"","CNS","Crystal cells","Dorsal vessel","Epidermis","Fatbody","Gastric caecum","Germ cells","Glia","Malphigian tubules","Midgut","Muscle","Plasmocytes","PNS","Ring glands","Salivary glands","Trachea"
"CG31528",0.00084343707371668,0,0.00304236184634856,0.000424821685345793,0.0046525429668387,0,0.00651086908831235,0,0,0.000829957894576092,0.00271464066362247,0.00181754402546016,0,0,0,0.000958643174796121
"srl",0.0937285677838396,0.0118139910408875,0.2652080404221,0.13402202094302,0.310926646074937,0.198988930936573,0.377396954712902,0.0383765027730509,0.145409620241063,0.174124518783855,0.0455199744241865,0.121860860801075,0.0239506565761508,0.166077756249908,0.0303518692198659,0.0408625831656312
"CG31525",0,0,0,0.000755178181271158,0.000151848523444698,0,0.00378814998497999,0,0,0,0.00130081114680681,0,0,0,0,0
"eIF3a",1.40373288812451,0.491084252590309,1.53130355885934,0.951071187514004,1.1509828371765,1.27766547654806,1.38717139389195,0.796232741105744,1.5591763591198,1.24762201601519,0.859308883334737,0.801215494828282,0.940553668466618,1.76688624848766,0.898527302974517,0.669179027558467
"CG1074",0.158068497777937,0.0247801535454619,0.195465951287148,0.0717806652520276,0.113173456650663,0.116052931016589,0.192969863098538,0.0686953911501606,0.0994087496545938,0.114228582297148,1.2876167878219,0.0750044499614714,0.0596632733752587,0.167340222917348,0.0303518692198659,0.0272983530053088
"CR46138",0.000151980301042884,0,0,0,0.000404050056867155,0.0018045355919382,0.00291894867641732,0,0.00125558957087213,0,0,0,0,0,0,0
"CG9804",0.179991491106521,0.0384818626396342,0.216711155463695,0.140547426344366,0.366193288478643,0.437441845374713,0.493238619735712,0.469047320555968,0.519675775444877,0.345549640809829,0.638097638990413,0.180950476459072,0.201498751583866,0.322336384146913,0.00866646502691371,0.0440464706200719
"CR44134",0,0,0,0,0.000305837505370638,0.00379333889689705,0,0,0,0.000133376184433868,0.00094068492398137,0.00751958852811574,0.000904403713517824,0.00311012969240817,0,0
"CG14650",0.329801498841569,0.01356545832449,0.194441781975563,0.22998779278073,0.110805404095606,0.12253749943351,0.188899267627256,0.169473602404154,0.1458765705329,0.111562657154683,0.0785368433897076,0.134772866374484,0.279558866955631,0.130063668475317,0.335634810338386,0.0981108180968326
"CG31522",0.500895976952428,0.145742639828284,0.623899972423015,5.90580563606129,0.458156952988901,1.06754703081136,0.215335717204731,0.976077175340778,0.541342880895332,1.40492089714634,0.450444266807527,0.578245257196825,1.50852159234099,0.780264496956474,0.426418577185417,15.3844646300779
"CR43629",0.0267127648006714,0.00911269905005082,0.0371014318317634,0.0271498715778545,0.0398003749377937,0.155251204901661,0.0124204505130237,0.099091396954795,0.0397651575247342,0.0771714010153352,0.0243036924267882,0.035386491613046,0.0380413006885877,0.0489290650696848,0,0.03953429056134
"CG31523",0.330415584994856,0.0604636672079784,0.541351825874356,1.97540965249062,0.11259148030239,1.78049053743462,0.198954006094208,1.02844395763336,0.162171627880793,0.55353884119045,0.311705793248951,0.281627769939336,0.675536402420054,0.794295032217783,0.0556388593507696,6.32085361809617
"CG14651",0.000258369151694756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fip1",0.797898221227811,0.00673994333055648,0.297136490823803,0.0665796173655185,0.221780955545751,0.266034702684255,0.501260493835319,0.132950835079526,0.211438113292773,0.266732776417411,0.0590628145181897,0.156669132287765,0.191272836389182,0.214394096785832,0.0770891393254814,0.0234709450198926
"CG34357",0.239774708577311,0.00619899774604442,0.0197298140555519,0.00678271096766425,0.01091206727941,0,0.0175761498446691,0.026568823470798,0.0010111178474029,0.00218218474503158,0.00339481868355874,0.0062128008548814,0.0436687290087737,0.0171218910595064,0,0.00148201928597378
"CG34425",0.000416146506115777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR31526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mur82C",0.000376522496955627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG32945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR45558",0.00568894513199383,0,0,0,0.000375549278374551,0,0.0028985675279277,0,0,0,0,0,0.00220265187255356,0,0,0
"CR44317",0.0446201937366906,0.00983728057967537,0.00309898366435623,0.00895470637598533,0.00321897032293054,0.112717118794095,0.00499511976798668,0.0014491377992379,0.00110834984220423,0.000475498316915828,0.00265508976725749,0.0064597396724912,0.0211553630864659,0,0,0.0616568139131888
"5-HT2A",0.133727399240717,0.0142900367695894,0,0.0110186742952623,0.00988277306188723,0.395825778216835,0.0351142259342401,0.0357940326815294,0.00260206815608875,0.00633807750003984,0.00110159018950215,0,0.00598102766606378,0.0113123036802159,0,0.00212810934861232
"CR45673",0.00096123857126035,0,0,0,0,0.00659866194240501,0.00328832493385534,0,0,0,0,0,0,0,0,0
"CG9775",1.75664255004614,0.393677684743558,1.41567538260844,0.772175107227655,0.565379818143123,0.529334078307613,0.44160100529135,1.39948411892356,0.529499713930694,0.502764145404373,1.04731317318247,1.07871610001674,1.2863560653347,0.742562362792511,0.226064044829406,0.349332759029023
"slx1",0.0433591150248186,0,0.0380979921096489,0.0170445463627936,0.0136807271042234,0.0183335541950117,0.0803895187497725,0.0283540794600655,0.00826351454256594,0.0230358227289925,0.00849321365416842,0.0257615471769317,0.0223868071555821,0.0123706409263798,0,0.00621670427298635
"MED31",0.477278367993652,0.0266381804125625,0.205763223795243,0.203857909198084,0.129390682951565,0.190432630422167,0.624033786068843,0.222951340196218,0.165976465361423,0.216805730934366,0.0950608995092685,0.162380707496719,0.462188319566582,0.200006774636447,0.059756209271654,0.110875939495214
"Dlip2",0.434773030403348,0.0316901805040513,0.187101034070153,0.124805995555645,0.0709339610504284,0.16740934783656,0.367491119630819,0.315348215890353,0.13305242932655,0.165696269389814,0.081441460956984,0.109622285440695,0.315168843616063,0.362735561524469,0,0.0782706557542988
