"","fb_tx_id","fb_gene_id","fb_symbol","late.tss","late.tu","PI"
"118","FBtr0081143","FBgn0002022","Catsup",1.94082499402512,-0.54357227166357,2.48439726568869
"119","FBtr0081165","FBgn0002031","l(2)37Cc",0.28808421790927,-0.76805452240738,1.05613874031665
"120","FBtr0081244","FBgn0002044","swm",2.47242492748123,2.04457914801269,0.427845779468533
"121","FBtr0078170","FBgn0002121","l(2)gl",0.731924268781352,-0.329585015367812,1.06150928414916
"122","FBtr0089505","FBgn0002174","l(2)tid",2.82961272444619,2.26684018842258,0.562772536023604
"123","FBtr0307336","FBgn0002283","l(3)73Ah",1.55623370011518,-0.821163858893001,2.37739755900818
"124","FBtr0081570","FBgn0002306","sas",5.21464209268658,1.3417724446536,3.87286964803298
"125","FBtr0082703","FBgn0002354","l(3)87Df",1.01059447582489,-0.6503880054988,1.66098248132369
"126","FBtr0082090","FBgn0002431","hyd",3.79704126348886,0.827658152002023,2.96938311148683
"127","FBtr0081696","FBgn0002522","lab",2.79335453229281,-0.944838363808225,3.73819289610104
"128","FBtr0343735","FBgn0002524","lace",3.60099250213101,1.8060107330014,1.79498176912962
"129","FBtr0088744","FBgn0002535","Lcp4",-1.24323537197502,-1.60002011665295,0.356784744677936
"130","FBtr0070074","FBgn0002561","l(1)sc",-0.368606560846141,-1.76901217405744,1.4004056132113
"131","FBtr0072463","FBgn0002564","Lsp1gamma",-2.12566379401596,-2.89799793137256,0.772334137356602
"132","FBtr0111123","FBgn0002566","lt",0.552348591993935,0.0413200278730522,0.511028564120883
"133","FBtr0088747","FBgn0002569","Mal-A2",0.90149818536728,-1.01729931495768,1.91879750032496
"134","FBtr0088759","FBgn0002570","Mal-A1",-0.99427810525334,-1.62054308372483,0.626264978471493
"135","FBtr0088758","FBgn0002571","Mal-A3",2.60416116788039,0.833618285028676,1.77054288285171
"136","FBtr0075862","FBgn0002573","sens",2.43906993253885,-1.4425418289821,3.88161176152095
"137","FBtr0084981","FBgn0002592","E(spl)m2-BFM",4.24987467596648,1.07399119390329,3.17588348206319
"138","FBtr0085592","FBgn0002626","RpL32",3.90523027495454,1.53503805686305,2.37019221809149
"139","FBtr0087598","FBgn0002643","mam",5.52759856587026,1.46300894259235,4.06458962327792
"140","FBtr0085876","FBgn0002645","Map205",4.21484046856452,1.44503873241905,2.76980173614546
"141","FBtr0086461","FBgn0002716","mei-W68",4.24934244471745,2.15468975990039,2.09465268481706
"142","FBtr0330025","FBgn0002719","Men",4.17759008604797,2.26443375228648,1.91315633376148
