flybase_gene_id,flybase_symbol,poised.toll10b_02to04h,poised.mef2_06to08h,poised.mef2_08to10h,poised.mef2_10to12h,poised.mef2_14to17h,PcG_repressed.toll10b_02to04h,PcG_repressed.mef2_06to08h,PcG_repressed.mef2_08to10h,PcG_repressed.mef2_10to12h,PcG_repressed.mef2_14to17h,PcG_repressed.elav_14to17h,Poised_opening_set,Poised_constant_set,Poised_closing_set,Poised_regulated_set,Non_poised_regulated_set,Differential_K27_muscle,Differential_k27_neuron,Balanced_toll10b
FBgn0001098,Gdh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001099,gdl,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0001104,G-ialpha65A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001105,Gbeta13F,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0001108,Gl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001112,Gld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001114,Glt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001120,gnu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001122,G-oalpha47A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001123,G-salpha60A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001124,Got1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001125,Got2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
